"","focal","competitor","treatment","alpha","alpha_sd","alpha_low","alpha_high","lambda","lambda_low","lambda_high","snd","snd_low","snd_high","fd","fd_low","fd_high","sp_pair"
"43","ACWR","FEMI",2,0.41890072807644,0.232156302908528,0.254318692711535,0.661858569634574,1781.16162398266,1330.41170852512,2373.05380160847,0.454881456588651,0.130178838930967,0.705632812381524,3.27524427467764,1.95531330798627,5.7498468537929,"ACWR_FEMI"
"44","FEMI","FEMI",2,0.221680394373811,0.0627300715004278,0.168342922026352,0.286998633061297,591.870621996925,487.209649609998,725.297668060522,0,0,0,1,1,1,"FEMI_FEMI"
"45","HOMU","FEMI",2,0.0526716007139121,0.0201173008698473,0.0356401618107806,0.0727130955157631,612.054185774003,494.209949999846,756.06894689157,0.42604394920662,0.298501337503215,0.538127802651054,0.453923970311383,0.36370572865895,0.560559820041901,"HOMU_FEMI"
"46","PLER","FEMI",2,0.253485729636344,0.0640499232777495,0.200085678419901,0.320092983059706,683.656516855899,596.940143789441,771.606443010576,0.62361206189399,0.541074161101218,0.678370991414551,2.53184293146483,2.15229112910742,3.03479149738684,"PLER_FEMI"
"47","SACO","FEMI",2,0.361665248419888,0.243956837728953,0.192047196974136,0.620111990459187,543.969440496634,318.354797421569,856.379227646948,0.508311760241261,0.345577020855512,0.654258163054132,6.26993688019807,4.53335440562767,9.07227421809069,"SACO_FEMI"
"48","URLI","FEMI",2,0.025757652935064,0.0141394388424427,0.0155628273419751,0.0417442431492023,74.7716798774031,62.7042433070454,89.0097525366681,0.894737559814376,0.796617840218515,0.931397129095048,8.87722062295131,4.61044276161439,14.6440769875839,"URLI_FEMI"
"49","ACWR","HOMU",2,0.974392528366239,0.368426656490605,0.667074774791775,1.39222300199764,1781.16162398266,1330.41170852512,2373.05380160847,0.0333156089220676,-0.379677442843463,0.363517867764009,2.02988102529063,1.41247563142269,3.09850633105429,"ACWR_HOMU"
"50","FEMI","HOMU",2,0.578349171580221,0.226868052176369,0.403825702129771,0.813977872203774,591.870621996925,487.209649609998,725.297668060522,0.42604394920662,0.298501337503215,0.538127802651054,2.20301228643644,1.78393407075252,2.74947555092648,"FEMI_HOMU"
"51","HOMU","HOMU",2,0.412642736054568,0.133716260867172,0.300481470347938,0.553398213009965,612.054185774003,494.209949999846,756.06894689157,0,0,0,1,1,1,"HOMU_HOMU"
"52","PLER","HOMU",2,1.27406432215009,0.300245905894421,1.00719118214237,1.62923320234285,683.656516855899,596.940143789441,771.606443010576,0.313143428677979,0.188735891638281,0.419759832603774,3.4526654667203,2.97432905907298,4.08923995383435,"PLER_HOMU"
"53","SACO","HOMU",2,0.687192199344291,0.452549994426557,0.326075600722754,1.25081896931979,543.969440496634,318.354797421569,856.379227646948,0.393505198324326,0.215787004176795,0.534292100517574,4.52201229694072,3.31725018501578,6.31495166396294,"SACO_HOMU"
"54","URLI","HOMU",2,0.109131547592231,0.0558071076681289,0.0679176680866641,0.171128841904843,74.7716798774031,62.7042433070454,89.0097525366681,0.621441290821881,0.383711008409868,0.751807666352905,5.31705620270709,2.97521145257773,8.14683033544183,"URLI_HOMU"
"55","ACWR","PLER",2,0.297105384401715,0.152053736629792,0.198234559674539,0.445582151997952,1781.16162398266,1330.41170852512,2373.05380160847,0.568368718906144,0.427662633838378,0.677514708621357,0.710507871942152,0.532163462035782,0.958630428868781,"ACWR_PLER"
"56","FEMI","PLER",2,0.135685869352647,0.0539673537302899,0.0960590414368804,0.188792964299757,591.870621996925,487.209649609998,725.297668060522,0.62361206189399,0.541074161101218,0.678370991414551,0.394969381962158,0.329511939379924,0.464621159718551,"FEMI_PLER"
"57","HOMU","PLER",2,0.159457186366553,0.0539219437862376,0.114133564980421,0.216058246868806,612.054185774003,494.209949999846,756.06894689157,0.313143428677979,0.188735891638281,0.419759832603774,0.289631341549303,0.244544222089372,0.336210278098061,"HOMU_PLER"
"58","PLER","PLER",2,1.05866189857684,0.175592906031992,0.896814305723507,1.24397728646079,683.656516855899,596.940143789441,771.606443010576,0,0,0,1,1,1,"PLER_PLER"
"59","SACO","PLER",2,0.175627429749918,0.111945755415512,0.0913851842336962,0.304216164603744,543.969440496634,318.354797421569,856.379227646948,0.781092425476495,0.718331044572193,0.831135480023225,1.72578970845672,1.24773370609502,2.27647214564973,"SACO_PLER"
"60","URLI","PLER",2,0.0238215452162279,0.011011827191404,0.0142754343961706,0.0354231772773467,74.7716798774031,62.7042433070454,89.0097525366681,0.853458091949559,0.808272399272935,0.89188260332386,1.47677497508087,1.09361469680768,1.96000759694062,"URLI_PLER"
"61","ACWR","SACO",2,0.0148641356943791,0.0128686348429514,0.00560141152721969,0.0296029561264626,1781.16162398266,1330.41170852512,2373.05380160847,0.705153881656384,0.587797784819477,0.812513574465631,0.176147992189185,0.104981883997558,0.256608685832099,"ACWR_SACO"
"62","FEMI","SACO",2,0.0207209622472501,0.0123247639174273,0.0109443155721694,0.0330174699331443,591.870621996925,487.209649609998,725.297668060522,0.508311760241261,0.345577020855512,0.654258163054132,0.159491296969382,0.11022616102113,0.220587210174319,"FEMI_SACO"
"63","HOMU","SACO",2,0.0323866480459338,0.0176457682672981,0.0181788331075036,0.0495816250847746,612.054185774003,494.209949999846,756.06894689157,0.393505198324326,0.215787004176795,0.534292100517574,0.221140522916954,0.158354347594115,0.30145457554342,"HOMU_SACO"
"64","PLER","SACO",2,0.0399755033093751,0.0186809358250251,0.0254905370286339,0.0584457495825349,683.656516855899,596.940143789441,771.606443010576,0.781092425476495,0.718331044572193,0.831135480023225,0.579445002916347,0.439276542122513,0.801454118342542,"PLER_SACO"
"65","SACO","SACO",2,0.137035960877176,0.115785265939366,0.0631715552677184,0.267217161797107,543.969440496634,318.354797421569,856.379227646948,0,0,0,1,1,1,"SACO_SACO"
"66","URLI","SACO",2,0.00451186218037959,0.0068983072227728,0.001,0.0131186263886865,74.7716798774031,62.7042433070454,89.0097525366681,0.683162575983009,0.44966006541416,0.839211507945901,0.434719086211876,0.210620288029452,0.794847750559886,"URLI_SACO"
"67","ACWR","URLI",2,0.00775857401607878,0.00927108788479052,0.00221156333930263,0.0171849360337943,1781.16162398266,1330.41170852512,2373.05380160847,0.855834663995257,0.787316128838123,0.915378765271687,0.223131098148361,0.12720692715303,0.342594506935548,"ACWR_URLI"
"68","FEMI","URLI",2,0.00254336731359385,0.00641061678344577,0.001,0.00904999310994913,591.870621996925,487.209649609998,725.297668060522,0.894737559814376,0.796617840218515,0.931397129095048,0.112647956876991,0.068287043830614,0.216898990881555,"FEMI_URLI"
"69","HOMU","URLI",2,0.0128087591859903,0.0333039521962812,0.0059086713327672,0.0355243196392825,612.054185774003,494.209949999846,756.06894689157,0.621441290821881,0.383711008409868,0.751807666352905,0.188073996818611,0.122747667128315,0.336110691921583,"HOMU_URLI"
"70","PLER","URLI",2,0.0243831899953966,0.0118513434125387,0.0157346048211363,0.0359593197433956,683.656516855899,596.940143789441,771.606443010576,0.853458091949559,0.808272399272935,0.89188260332386,0.677151239587152,0.510202865172063,0.914398882317171,"PLER_URLI"
"71","SACO","URLI",2,0.0813468080750319,0.0555566532270429,0.0397887940303688,0.146396550348068,543.969440496634,318.354797421569,856.379227646948,0.683162575983009,0.44966006541416,0.839211507945901,2.30034533270141,1.25810421856243,4.74788219274169,"SACO_URLI"
"72","URLI","URLI",2,0.0246920844114696,0.0076813928738911,0.0179900968488387,0.033053941960264,74.7716798774031,62.7042433070454,89.0097525366681,0,0,0,1,1,1,"URLI_URLI"
