"","species","treatment","omega","theta","outcome","no_sp"
"93","FE-HO-UR",2,0.140804733868296,23.2057051691615,0,3
"94","FE-PL-SA",2,0.113597117748851,29.3899634818297,0,3
"95","FE-PL-UR",2,0.153980177447886,24.0985308709936,1,3
"96","FE-SA-UR",2,0.0353956437532365,47.7455269664695,0,3
"97","HO-PL-SA",2,0.029878772154392,23.7401816601695,0,3
"98","HO-PL-UR",2,0.032888000611001,22.5915681347677,0,3
"99","HO-SA-UR",2,0.0279289991372014,41.4398938967669,0,3
"100","PL-SA-UR",2,0.100760373583377,28.8995922995068,1,3
"101","AC-FE-HO-PL",1,0.00161252508592252,16.9552129255723,0,4
"102","AC-FE-HO-SA",1,0.00552341007527397,19.5717438927062,0,4
"103","AC-FE-HO-UR",1,0.00181646559210094,11.3723792222741,0,4
"104","AC-FE-PL-SA",1,0.00416784535401002,20.1951254997253,0,4
"105","AC-FE-PL-UR",1,0.000395265863864546,14.5194843144739,0,4
"106","AC-FE-SA-UR",1,0.00528543015074075,17.8090561200507,0,4
"107","AC-HO-PL-SA",1,0.0169579938755153,16.3635709262703,0,4
"108","AC-HO-PL-UR",1,0.00647015637168644,10.7095792181284,0,4
"109","AC-HO-SA-UR",1,0.00577878013963271,15.9117178542705,0,4
"110","AC-PL-SA-UR",1,0.011813922308085,16.8977097123232,0,4
"111","FE-HO-PL-SA",1,0.000238413110214127,21.3065962534775,0,4
"112","FE-HO-PL-UR",1,0.000800666428295792,13.6077446146604,0,4
"113","FE-HO-SA-UR",1,0.00379352967880114,18.1133452638597,0,4
"114","FE-PL-SA-UR",1,0.00122950482242307,18.3931660859331,0,4
"115","HO-PL-SA-UR",1,0.0123428017468716,19.5551487185343,0,4
"116","AC-FE-HO-PL",2,0.00404036573026034,20.4048819868161,0,4
"117","AC-FE-HO-SA",2,0.00784666014909635,32.6062435189618,0,4
"118","AC-FE-HO-UR",2,0.0135298678835566,24.1626961039542,0,4
"119","AC-FE-PL-SA",2,0.0219555729516704,27.6542865599695,0,4
"120","AC-FE-PL-UR",2,0.0251322562080713,21.903857439598,0,4
"121","AC-FE-SA-UR",2,0.00840708301633724,43.181616326762,0,4
"122","AC-HO-PL-SA",2,0.000260387527748013,22.5908921823872,0,4
"123","AC-HO-PL-UR",2,0.000295989387497327,17.3407723446547,0,4
"124","AC-HO-SA-UR",2,0.001736726540523,37.2041165470342,0,4
"125","AC-PL-SA-UR",2,0.0255882099212309,32.2188266303716,0,4
"126","FE-HO-PL-SA",2,0.00730452820085849,29.1327541798694,0,4
"127","FE-HO-PL-UR",2,0.00747058912211547,24.7741742985205,0,4
"128","FE-HO-SA-UR",2,0.00546112058409846,44.0799410275661,0,4
"129","FE-PL-SA-UR",2,0.0142282153521675,36.4587519700519,0,4
"130","HO-PL-SA-UR",2,0.00417099420950488,29.5340480683513,0,4
"131","AC-FE-HO-PL-SA",1,0.000311426438711981,19.3456542233091,0,5
"132","AC-FE-HO-PL-UR",1,0.00000470744637475385,14.6430486619031,0,5
"133","AC-FE-HO-SA-UR",1,0.00022934692307161,17.1267715206497,0,5
"134","AC-FE-PL-SA-UR",1,0.0000638112418749569,17.5305071941493,0,5
"135","AC-HO-PL-SA-UR",1,0.00123328888389834,15.4916978226871,0,5
"136","FE-HO-PL-SA-UR",1,0.000296130772086764,18.2617587801883,0,5
"137","AC-FE-HO-PL-SA",2,0.00110679849912188,26.2128852626628,0,5
"138","AC-FE-HO-PL-UR",2,0.00166418715588209,21.2855433808699,0,5
"139","AC-FE-HO-SA-UR",2,0.000801731809480156,38.1574565923777,0,5
"140","AC-FE-PL-SA-UR",2,0.0023470769685637,34.0054748197306,0,5
"141","AC-HO-PL-SA-UR",2,0.0000846074832894577,28.7992086041885,0,5
"142","FE-HO-PL-SA-UR",2,0.00106842084606004,34.138916155994,0,5
"143","AC-FE-HO-PL-SA-UR",1,0.00000584206866440353,17.2591680035219,0,6
"144","AC-FE-HO-PL-SA-UR",2,0.000174296984549704,31.094815376452,0,6
