sp_pair,fd_d,fd_w,snd_d,snd_w,fd_diff,fd_diff_abs,snd_diffs,pc1,label
SACO:ACWR,5.67704480236584,2.90974541205037,0.705153881656384,0.766449693661646,-2.76729939031547,2.76729939031547,0.06129581200526191,2.8241638792843586,SA-AC
URLI:ACWR,4.48167023021153,2.65627930672562,0.855834663995257,0.436229477218971,-1.82539092348591,1.82539092348591,0.419605186776286,2.3934987530374303,UR-AC
ACWR:FEMI,3.27524427467764,1.6579156994356,0.454881456588651,0.433719101109824,-1.61732857524204,1.61732857524204,0.021162355478827,1.978796129275542,AC-FE
HOMU:FEMI,2.2030121020355447,1.17238129063408,0.42604394920662,0.474409853241516,0.718457320322697,0.718457320322697,0.048365904034896046,1.1382156801413277,HO-FE
PLER:FEMI,2.53184293146483,2.17205344876135,0.62361206189399,-0.0769886109010705,-0.35978948270348,0.35978948270348,0.7006006727950604,2.7643647317473414,PL-FE
SACO:FEMI,6.26993688019807,2.99276915052803,0.508311760241261,0.367699485773033,-3.2771677296700403,3.2771677296700403,0.140612274468228,4.8029600085599,SA-FE
URLI:FEMI,8.87722062295131,3.52349402972177,0.894737559814376,0.3877881152964,-5.35372659322954,5.35372659322954,0.506949444517976,4.372294882312972,UR-FE
ACWR:HOMU,2.02988102529063,1.13574071248787,0.0333156089220676,0.313797208682867,-0.8941403128027601,0.8941403128027601,0.2804815997607994,0.8405804491342144,AC-HO
PLER:HOMU,3.4526654667203,1.6157786492945,0.313143428677979,0.356985387539084,-1.8368868174257997,1.8368868174257997,0.04384195886110498,1.6261490516060135,PL-HO
SACO:HOMU,4.52201229694072,2.38268259323421,0.393505198324326,0.558201004592839,-2.13932970370651,2.13932970370651,0.16469580626851293,3.664744328418573,SA-HO
URLI:HOMU,5.31705620270709,3.18005263656305,0.621441290821881,0.65825253535692,-2.13700356614404,2.13700356614404,0.03681124453503892,3.2340792021716447,UR-HO
ACWR:PLER,1.4074439418475828,1.76480736913483,0.568368718906144,0.372531362390095,1.054299497192678,1.054299497192678,0.19583735651604905,0.7855686024717992,AC-PL
SACO:PLER,1.72578970845672,5.3215326419861,0.781092425476495,0.769869075629567,3.5957429335293805,3.5957429335293805,0.011223349846928077,2.0385952768125595,SA-PL
URLI:PLER,1.47677497508087,1.74332763850808,0.853458091949559,0.679085858442903,0.26655266342720996,0.26655266342720996,0.17437223350665598,1.6079301505656312,UR-PL
URLI:SACO,2.300336083041484,2.92221808350009,0.683162575983009,0.406927427591671,2.4874989972882138,2.4874989972882138,0.276235148391338,0.4306651262469281,UR-SA
