"","focal","competitor","treat","alpha","alpha_low","alpha_high","lambda","lambda_low","lambda_high","snd","snd_low","snd_high","fd","fd_low","fd_high","sp_pair"
"1","ACWR","ACWR","D",0.371195177782595,0.241054082291112,0.556807225203598,1726.88719047383,1303.75484399812,2365.15295668909,0,0,0,1,1,1,"ACWR_ACWR"
"2","FEMI","ACWR","D",0.0580618195565728,0.0187322829955607,0.138283290385866,583.082239378668,486.01120785234,724.252957846795,0.455998576113895,0.15764508945142,0.69680881854107,0.311798695968737,0.170743673092495,0.505653575977806,"FEMI_ACWR"
"3","HOMU","ACWR","D",0.149263992138572,0.0547063377520636,0.291186218494614,615.615815149793,489.134914217808,765.363402988458,0.0741838127683542,-0.290101813193954,0.395724037087622,0.486376525192925,0.301910876775259,0.705901080372968,"HOMU_ACWR"
"4","PLER","ACWR","D",0.235904987306154,0.159140594748667,0.377662690378075,682.423943161771,590.0845818886,767.215301089695,0.583607794661953,0.436941853013297,0.677534166515394,1.37958292845189,1.04447376510742,1.81346385268434,"PLER_ACWR"
"5","SACO","ACWR","D",0.321322567226809,0.15463764584178,0.561363783859089,550.616111507362,343.497682714459,852.110740381374,0.711874569209386,0.585345887137039,0.809393154125056,5.70447751250418,3.78294210971454,8.984168182721,"SACO_ACWR"
"6","URLI","ACWR","D",0.027593052648679,0.0153924675925762,0.0434167392859113,73.6306287545226,62.1358723877844,87.9520034010974,0.856884361142523,0.792989710386447,0.918528905458149,4.52039817005901,2.82437426088255,8.05756426684237,"URLI_ACWR"
"7","ACWR","FEMI","D",0.405880399393093,0.260968508164914,0.641030837840665,1726.88719047383,1303.75484399812,2365.15295668909,0.455998576113895,0.15764508945142,0.69680881854107,3.20719757020629,1.97763864551763,5.85673241484965,"ACWR_FEMI"
"8","FEMI","FEMI","D",0.222164168883807,0.173139256294125,0.288360554385842,583.082239378668,486.01120785234,724.252957846795,0,0,0,1,1,1,"FEMI_FEMI"
"9","HOMU","FEMI","D",0.0530491044486067,0.0359593963902245,0.0735457738827415,615.615815149793,489.134914217808,765.363402988458,0.435087311658366,0.30467765525849,0.542829602480679,0.464466947571635,0.371141168961056,0.564053412824066,"HOMU_FEMI"
"10","PLER","FEMI","D",0.248657929234579,0.193958101797072,0.322400729372893,682.423943161771,590.0845818886,767.215301089695,0.626254812185054,0.550936263803133,0.687154823110296,2.54513432074614,2.07319203578767,2.99750317273808,"PLER_FEMI"
